PCM,Maths,Physics,Chemistry,Rank
94.7538799,60.9593505,97.7872024,99.5735994,11215
94.7491726,96.7534019,64.1311163,91.5046106,11225
94.7455516,92.794189,97.3075335,89.9277183,11235
94.7412064,93.9847773,95.5269986,91.5046106,11245
94.7357749,94.8766322,91.5532912,93.0430173,11255
94.7317917,95.4878588,91.6692579,90.0294122,11265
94.7263602,96.3822484,84.9717347,88.4112307,11275
94.718394,91.3704077,96.8301585,94.0816202,11285
94.7133246,92.794189,94.5735229,94.9795338,11295
94.7082552,93.9847773,88.9936129,95.7693817,11305
94.7017374,91.6213437,94.4804947,96.2992604,11315
94.6966679,93.0132601,93.7286226,95.3615867,11325
94.6905122,94.9092213,93.9067781,90.3969375,11335
94.6854428,95.0207484,83.9779893,94.7001942,11345
94.6807355,95.2897895,90.9683602,91.3929768,11355
94.6749419,92.794189,85.5090046,97.5687772,11365
94.6702346,95.1811592,98.8410976,28.6157399,11375
94.6648031,95.0207484,63.906829,96.8383144,11385
94.6600957,97.7578703,75.6263476,66.0477528,11395
94.6553884,94.0409029,68.2796658,97.805808,11405
94.650319,82.8845694,96.2207598,98.3841123,11415
